               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.018124,            0.010282,            0.020689,             0.96467,             0.97427,             0.98858,             0.80346,           0.0085827,           0.0027991,           0.0016665,           0.0088714,           0.0088714,           0.0088714
                 116,            0.019395,            0.010463,             0.02144,             0.96452,             0.97665,             0.98564,             0.79844,           0.0091132,           0.0028387,           0.0014476,           0.0088615,           0.0088615,           0.0088615
                 117,            0.019196,            0.010666,             0.02068,             0.97436,              0.9804,             0.98839,             0.80146,           0.0086416,           0.0027964,           0.0016251,           0.0088516,           0.0088516,           0.0088516
                 118,            0.020628,            0.010749,            0.020916,             0.96666,             0.97534,             0.98711,             0.79297,           0.0088534,           0.0028078,           0.0014392,           0.0088417,           0.0088417,           0.0088417
                 119,             0.02009,            0.010746,             0.02117,             0.97833,             0.97914,             0.99149,             0.79854,           0.0090992,           0.0027382,           0.0012733,           0.0088318,           0.0088318,           0.0088318
                 120,            0.019086,            0.010534,            0.020275,             0.96485,             0.97391,             0.99037,               0.796,           0.0088856,            0.002818,           0.0014807,           0.0088219,           0.0088219,           0.0088219
                 121,            0.017996,            0.010728,             0.02065,             0.95621,             0.97461,             0.98807,             0.79432,           0.0090241,           0.0028565,           0.0016706,            0.008812,            0.008812,            0.008812
                 122,            0.018965,            0.010362,             0.01966,             0.97398,             0.98247,             0.99165,             0.80216,           0.0088191,           0.0028222,           0.0011645,           0.0088021,           0.0088021,           0.0088021
                 123,             0.01953,            0.010654,            0.019621,             0.97226,              0.9692,             0.98643,             0.80165,           0.0087645,           0.0027497,           0.0013735,           0.0087922,           0.0087922,           0.0087922
                 124,            0.019895,            0.010667,            0.022654,             0.96523,             0.97703,             0.98699,             0.79662,           0.0087443,           0.0027459,           0.0015059,           0.0087823,           0.0087823,           0.0087823
                 125,            0.018532,            0.010439,            0.019224,             0.97814,             0.97241,             0.99173,             0.80427,           0.0088102,           0.0027908,           0.0012954,           0.0087724,           0.0087724,           0.0087724
                 126,            0.019788,            0.010538,            0.020109,             0.97669,             0.98494,             0.99296,             0.80216,           0.0086388,           0.0027772,          0.00095687,           0.0087625,           0.0087625,           0.0087625
                 127,            0.019946,            0.010643,            0.021307,             0.96744,             0.98002,             0.99284,             0.79702,           0.0091234,           0.0028027,           0.0011916,           0.0087526,           0.0087526,           0.0087526
                 128,            0.018878,            0.010641,            0.020284,             0.96949,             0.96821,             0.98359,             0.80217,           0.0085895,           0.0027341,           0.0015599,           0.0087427,           0.0087427,           0.0087427
                 129,             0.01935,            0.010619,            0.019777,              0.9736,               0.964,             0.98616,               0.798,           0.0090382,           0.0027249,           0.0013405,           0.0087328,           0.0087328,           0.0087328
                 130,            0.019032,            0.010623,            0.021439,             0.96093,             0.97646,             0.98983,             0.80079,           0.0088211,           0.0028108,           0.0017339,           0.0087229,           0.0087229,           0.0087229
                 131,            0.019492,             0.01086,            0.021821,             0.97096,             0.96546,             0.98781,              0.7936,           0.0088432,           0.0027784,           0.0020525,            0.008713,            0.008713,            0.008713
                 132,            0.019628,            0.011167,            0.022548,             0.95763,              0.9766,             0.98618,             0.78202,           0.0089113,           0.0028701,           0.0017684,           0.0087031,           0.0087031,           0.0087031
                 133,            0.019236,            0.011055,            0.022117,             0.94559,             0.97837,             0.98573,             0.79661,             0.00878,           0.0027832,           0.0014486,           0.0086932,           0.0086932,           0.0086932
                 134,            0.018722,            0.010475,             0.02041,             0.96742,             0.98666,               0.994,              0.8073,           0.0083985,           0.0027901,           0.0011353,           0.0086833,           0.0086833,           0.0086833
                 135,            0.019637,            0.010698,            0.022097,             0.96765,             0.97048,             0.98619,             0.79969,           0.0088237,           0.0027509,           0.0018466,           0.0086734,           0.0086734,           0.0086734
                 136,            0.018815,            0.010648,            0.020443,              0.9754,              0.9764,              0.9879,             0.79286,           0.0090896,           0.0027362,           0.0012654,           0.0086635,           0.0086635,           0.0086635
                 137,            0.018162,            0.010569,            0.018568,             0.97578,             0.97366,              0.9884,             0.80925,           0.0086533,           0.0026981,           0.0012202,           0.0086536,           0.0086536,           0.0086536
                 138,            0.018344,            0.010261,            0.019706,             0.96019,             0.98197,             0.99173,             0.80693,           0.0086015,           0.0027698,           0.0012585,           0.0086437,           0.0086437,           0.0086437
                 139,             0.01947,             0.01084,            0.021498,             0.95767,              0.9776,             0.98581,             0.79781,           0.0086307,           0.0027888,           0.0014796,           0.0086338,           0.0086338,           0.0086338
                 140,            0.018774,            0.010606,            0.020935,             0.96551,             0.97214,             0.98803,             0.80021,           0.0089705,           0.0027852,           0.0013737,           0.0086239,           0.0086239,           0.0086239
                 141,            0.020107,             0.01077,             0.02126,             0.96692,             0.97166,             0.98746,             0.79315,           0.0091844,           0.0027576,           0.0013869,            0.008614,            0.008614,            0.008614
                 142,            0.018724,            0.010388,            0.020067,              0.9627,             0.96193,             0.98701,             0.79772,           0.0088543,            0.002796,           0.0014853,           0.0086041,           0.0086041,           0.0086041
                 143,            0.020516,            0.010834,            0.021571,             0.97033,             0.97437,             0.99174,             0.80515,           0.0090109,           0.0028474,           0.0012664,           0.0085942,           0.0085942,           0.0085942
                 144,            0.018855,            0.010609,            0.020149,             0.95901,             0.98755,             0.99137,             0.80195,           0.0089264,           0.0027674,           0.0011341,           0.0085843,           0.0085843,           0.0085843
                 145,            0.018645,             0.01036,            0.018939,             0.96198,             0.98531,             0.99139,             0.80611,           0.0085229,           0.0027694,           0.0011256,           0.0085744,           0.0085744,           0.0085744
                 146,            0.019035,            0.010372,            0.018557,             0.97065,             0.98201,             0.99092,             0.81241,           0.0081955,           0.0027318,           0.0012655,           0.0085645,           0.0085645,           0.0085645
                 147,            0.018166,            0.010306,            0.018191,             0.96688,             0.97808,             0.98946,             0.80668,           0.0083128,           0.0027283,           0.0012336,           0.0085546,           0.0085546,           0.0085546
                 148,            0.017993,             0.01019,            0.018739,             0.97924,             0.98779,             0.99277,             0.81135,           0.0084686,           0.0027343,          0.00093778,           0.0085447,           0.0085447,           0.0085447
                 149,            0.018842,            0.010549,            0.020063,             0.97518,              0.9852,             0.99362,             0.81384,           0.0084793,           0.0026921,          0.00090889,           0.0085348,           0.0085348,           0.0085348
                 150,            0.018659,            0.010314,            0.019956,             0.97159,             0.98514,             0.99365,             0.81517,           0.0085364,           0.0027591,           0.0009238,           0.0085249,           0.0085249,           0.0085249
                 151,            0.019395,            0.010282,            0.018733,              0.9733,             0.98155,             0.99051,             0.80793,            0.008453,           0.0026906,           0.0010301,            0.008515,            0.008515,            0.008515
                 152,            0.018941,            0.010345,            0.019432,             0.97146,             0.98732,              0.9925,             0.80963,           0.0087684,           0.0027014,           0.0010587,           0.0085051,           0.0085051,           0.0085051
                 153,            0.018558,            0.010469,            0.021159,             0.97062,             0.98408,             0.99094,             0.80893,           0.0089069,           0.0026828,           0.0010005,           0.0084952,           0.0084952,           0.0084952
                 154,            0.018885,            0.010338,            0.020178,             0.97342,             0.97909,             0.99028,             0.81139,           0.0087224,           0.0026801,           0.0011177,           0.0084853,           0.0084853,           0.0084853
